index,frame,x,y,z,qx,qy,qz,qw
131,map,0.039172057062387466,-2.367241621017456,0.0,0.0,0.0,0.519554313229289,0.85443742638349
130,map,0.050000023841857866,-2.3499999925494195,0.0,0.0,0.0,0.0,1.0
129,map,0.10000002458691593,-2.3499999925494195,0.0,0.0,0.0,0.0,1.0
128,map,0.15000002533197399,-2.2999999918043614,0.0,0.0,0.0,0.0,1.0
127,map,0.1739803571102072,-2.2929326928098903,0.0,0.0,0.0,0.0,1.0
126,map,0.19355986332237474,-2.2773879919556976,0.0,0.0,0.0,0.0,1.0
125,map,0.20961382626911695,-2.258223572495931,0.0,0.0,0.0,0.0,1.0
124,map,0.22623465323797798,-2.2395487694375036,0.0,0.0,0.0,0.0,1.0
123,map,0.24271719742889952,-2.220751896064757,0.0,0.0,0.0,0.0,1.0
122,map,0.2585012705400771,-2.201364650597642,0.0,0.0,0.0,0.0,1.0
121,map,0.27361586427116147,-2.181451072267459,0.0,0.0,0.0,0.0,1.0
120,map,0.28767035361633186,-2.160775746565696,0.0,0.0,0.0,0.0,1.0
119,map,0.3009557999812926,-2.1395979775428473,0.0,0.0,0.0,0.0,1.0
118,map,0.31348917876912874,-2.11796673637579,0.0,0.0,0.0,0.0,1.0
117,map,0.32367384841552105,-2.095135248379935,0.0,0.0,0.0,0.0,1.0
116,map,0.3316528600700621,-2.0714427831983984,0.0,0.0,0.0,0.0,1.0
115,map,0.3376440329498649,-2.0471712946470277,0.0,0.0,0.0,0.0,1.0
114,map,0.342281941954522,-2.0226052160949295,0.0,0.0,0.0,0.0,1.0
113,map,0.345992498040087,-1.9978821627480117,0.0,0.0,0.0,0.0,1.0
112,map,0.34911177604066945,-1.973077474878393,0.0,0.0,0.0,0.0,1.0
111,map,0.3528353020971309,-1.9483563288801364,0.0,0.0,0.0,0.0,1.0
110,map,0.35585635164165974,-1.923539529346519,0.0,0.0,0.0,0.0,1.0
109,map,0.34677203143793345,-1.9002484180070227,0.0,0.0,0.0,0.0,1.0
108,map,0.33100245417658125,-1.880849442345641,0.0,0.0,0.0,0.0,1.0
107,map,0.31612780490708015,-1.86075619177157,0.0,0.0,0.0,0.0,1.0
106,map,0.3011484421960773,-1.8407406656554444,0.0,0.0,0.0,0.0,1.0
105,map,0.28610327595626184,-1.8207746352370777,0.0,0.0,0.0,0.0,1.0
104,map,0.2811142240630715,-1.796277507339083,0.0,0.0,0.0,0.0,1.0
103,map,0.2647009166285528,-1.7774200279626258,0.0,0.0,0.0,0.0,1.0
102,map,0.2468630104789582,-1.7599040822670475,0.0,0.0,0.0,0.0,1.0
101,map,0.23200934204473067,-1.7397951914339544,0.0,0.0,0.0,0.0,1.0
100,map,0.2137258792478718,-1.7227448295465835,0.0,0.0,0.0,0.0,1.0
99,map,0.1951360962560187,-1.70602892124696,0.0,0.0,0.0,0.0,1.0
98,map,0.17671225259769296,-1.6891303843130232,0.0,0.0,0.0,0.0,1.0
97,map,0.15697138468878502,-1.6737909141747793,0.0,0.0,0.0,0.0,1.0
96,map,0.1367796195563613,-1.6590499700464307,0.0,0.0,0.0,0.0,1.0
95,map,0.11621286967713895,-1.644837170762378,0.0,0.0,0.0,0.0,1.0
94,map,0.09545996256858014,-1.6308973130717477,0.0,0.0,0.0,0.0,1.0
93,map,0.07551481761805401,-1.6158243949089113,0.0,0.0,0.0,0.0,1.0
92,map,0.05644495496816826,-1.5996583752283215,0.0,0.0,0.0,0.0,1.0
91,map,0.038337731187607416,-1.5824209978047166,0.0,0.0,0.0,0.0,1.0
90,map,0.020170044454485447,-1.5652473258263968,0.0,0.0,0.0,0.0,1.0
89,map,0.0018165819617592671,-1.5482723042111446,0.0,0.0,0.0,0.0,1.0
88,map,-0.016709972421973918,-1.5314864915830868,0.0,0.0,0.0,0.0,1.0
87,map,-0.03492400772756388,-1.5143619338327938,0.0,0.0,0.0,0.0,1.0
86,map,-0.052870823485714924,-1.4969575680338978,0.0,0.0,0.0,0.0,1.0
85,map,-0.070558049091072,-1.479289415915153,0.0,0.0,0.0,0.0,1.0
84,map,-0.08827636447960718,-1.4616525443144526,0.0,0.0,0.0,0.0,1.0
83,map,-0.10603978866398056,-1.4440610676118895,0.0,0.0,0.0,0.0,1.0
82,map,-0.12389581462585686,-1.4265635278308921,0.0,0.0,0.0,0.0,1.0
81,map,-0.14205692100609757,-1.4093828940299589,0.0,0.0,0.0,0.0,1.0
80,map,-0.16054008320778768,-1.392549206950504,0.0,0.0,0.0,0.0,1.0
79,map,-0.1791044030950133,-1.3758050698906943,0.0,0.0,0.0,0.0,1.0
78,map,-0.19741418730339721,-1.3587829367635096,0.0,0.0,0.0,0.0,1.0
77,map,-0.2154182235213853,-1.3414377941405449,0.0,0.0,0.0,0.0,1.0
76,map,-0.23339660589987976,-1.324066044003756,0.0,0.0,0.0,0.0,1.0
75,map,-0.2520400807565466,-1.3074101218195282,0.0,0.0,0.0,0.0,1.0
74,map,-0.27121408464333574,-1.2913677936996195,0.0,0.0,0.0,0.0,1.0
73,map,-0.2905848315445312,-1.2755635026926329,0.0,0.0,0.0,0.0,1.0
