i,x,y,yaw
0,0.7500000469386578,-0.9899999791383745,0.0
1,0.7229366767844057,-0.9876678639302834,0.0
2,0.6979452594808522,-0.9870118313582519,0.0
3,0.6729547958516293,-0.9863191776919247,0.0
4,0.6479647136921387,-0.9856157475056615,0.0
5,0.6229738685931836,-0.9849374943217266,0.0
6,0.5979813068804334,-0.9843267612803994,0.0
7,0.5729870285538881,-0.9837923221855216,0.0
8,0.5479904614089492,-0.983383481999986,0.0
9,0.5229921776502153,-0.9830939464732107,0.0
10,0.4979923680125524,-0.9829777889397415,0.0
11,0.4729925583748895,-0.9830734424751024,0.0
12,0.44799541902535234,-0.9834453754640431,0.0
13,0.42300400172179886,-0.9841045551613656,0.0
14,0.39802536365427565,-0.9851369076242587,0.0
15,0.3730879243178351,-0.9869039707914591,0.0
16,0.3482477597631175,-0.9897271329123849,0.0
17,0.32354320769821365,-0.9935589010053714,0.0
18,0.2998541280605509,-0.9855694943006266,0.0
19,0.2763065736935517,-0.977172487186976,0.0
20,0.25285934586613346,-0.9684992959871788,0.0
21,0.22951416119209123,-0.9595546890728879,0.0
22,0.20624412605530162,-0.9504164862694817,0.0
23,0.18305744205500796,-0.9410691426853712,0.0
24,0.16019882202444657,-0.9309455081961384,0.0
25,0.13736614193567798,-0.9207638903076041,0.0
26,0.11456111840249728,-0.9105200928527135,0.0
27,0.09178050893218037,-0.9002226035330092,0.0
28,0.06923450334719528,-0.8894205251249754,0.0
29,0.0466772444051089,-0.8786427654123723,0.0
30,0.024129903676060938,-0.8678435480273303,0.0
31,0.0015821814772807308,-0.857045284316619,0.0
32,-0.020931971385061754,-0.8461775931146387,0.0
33,-0.043690646345774464,-0.8358312756692068,0.0
34,-0.0670163760634721,-0.8268363147502593,0.0
35,-0.09075561897092532,-0.8189972071200198,0.0
36,-0.11442161968978715,-0.8109400895378012,0.0
37,-0.1376880308641204,-0.801792636093388,0.0
38,-0.16024586201080515,-0.7910157346876825,0.0
39,-0.18441921747355527,-0.784640135685208,0.0
40,-0.20906998230621232,-0.7804752491485369,0.0
41,-0.23379208197879953,-0.7767580173426576,0.0
42,-0.2585023560896871,-0.7729629657113999,0.0
43,-0.2829671544278738,-0.7678180834325867,0.0
44,-0.3070148156138486,-0.7609836717096523,0.0
45,-0.33035389677217486,-0.7520235199037724,0.0
46,-0.3516215972844008,-0.738882459832467,0.0
47,-0.37402798494738354,-0.7277938976555158,0.0
48,-0.39719960089325346,-0.7184087885679129,0.0
49,-0.4197250071126972,-0.7075641762847336,0.0
50,-0.4411088651583923,-0.6946130881400872,0.0
51,-0.45994984596892996,-0.6781808979538222,0.0
