episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,collision,dynamic_dist_0.35,108,2.8604791717310416,0.5437390713525833,0.14266793429851532,0.35420778683241616,66,0.36568677681590156
2,collision,dynamic_dist_0.34,80,3.2008656198579004,0.07676343802609056,0.12849369645118713,0.3360499707339304,36,0.19968318341382718
3,collision,stuck_blocked,248,1.8455709307415866,0.44998486329659576,0.11999999731779099,0.6285471828882555,88,0.487422721387493
4,off_path,cte_1.26,385,2.1506562349538476,1.2642664002663886,0.11999999731779099,0.7876132624994439,71,0.393354023535685
5,off_path,cte_1.27,270,3.4833326976939256,1.269473495103509,0.11999999731779099,1.63844203445599,52,0.2882184274634338
6,collision,stuck_blocked,174,3.811977082438734,0.8676545586246871,0.11999999731779099,0.948395210220855,31,0.17201593876262222
7,collision,dynamic_dist_0.36,88,3.514784748233305,0.24338482016506302,0.13397610187530518,0.3569572411100112,28,0.1554155912061265
8,collision,stuck_blocked,209,3.5608524309168987,0.6976913218613409,0.11999999731779099,0.8262812044670585,44,0.24395080276215284
9,collision,dynamic_dist_0.36,119,3.4101041008573776,0.31249925696000264,0.1377221643924713,0.35898746412192745,36,0.19968318341382718
10,collision,stuck_blocked,267,3.1117386444214308,0.6123199638815613,0.11999999731779099,1.004550849851329,52,0.2882184274634338
11,off_path,cte_1.26,172,4.667804952921515,1.259215632227793,0.11999999731779099,1.8850027022701712,17,0.09454759843608003
12,collision,stuck_blocked,188,3.622686932551901,0.6912143805448989,0.11999999731779099,3.5711504579364686,42,0.23288391895726931
13,collision,stuck_blocked,236,3.950482657307239,0.9851636507600879,0.11999999731779099,2.625038907396759,27,0.14988210687759618
14,collision,stuck_blocked,299,4.073808974594003,0.4615205275065257,0.11999999731779099,1.0306287066837168,15,0.0834806880909703
15,off_path,cte_1.27,194,4.912050707996157,1.271766295327148,0.11999999731779099,0.9269538130059892,2,0.01154581191528916
16,off_path,cte_1.25,175,5.0492016614386435,1.2532833222066873,0.13442428410053253,1.153092914992142,1,0.006012353917912963
17,collision,stuck_blocked,260,4.618856199002562,0.8063819732848437,0.11999999731779099,1.5034652012888654,7,0.03921309548404214
18,collision,stuck_blocked,218,3.744695145655155,0.8007679691697921,0.11999999731779099,3.5524405579233456,36,0.19968318341382718
19,off_path,cte_1.25,215,5.030846072374035,1.2510898445463394,0.14278341829776764,3.9783497786701156,1,0.006012353917912963
20,off_path,cte_1.25,192,4.689586921539625,1.2530772966265196,0.11999999731779099,2.724828716020695,17,0.09454759843608003
21,off_path,cte_1.26,249,4.897342356214242,1.2596307524608608,0.13587264716625214,1.33652272689944,7,0.03921309548404214
22,off_path,cte_1.25,208,4.72132772975656,1.2513034451233005,0.11999999731779099,0.8615751271858881,17,0.09454759843608003
23,off_path,cte_1.26,160,4.532629220417906,1.258216750028106,0.12949427962303162,0.7840184297330772,17,0.09454759843608003
24,off_path,cte_1.25,215,5.054236839211081,1.2541195763040036,0.11999999731779099,1.7122822713496417,7,0.03921309548404214
25,collision,stuck_blocked,163,4.5431094028591215,0.6298654587902852,0.11999999731779099,3.751215465055712,0,0.0
26,off_path,cte_1.26,171,4.685214170968882,1.2580373566576735,0.11999999731779099,3.89725417921964,17,0.09454759843608003
27,collision,stuck_blocked,447,4.14088321045798,0.584670456676447,0.11999999731779099,1.1788234096243901,7,0.03921309548404214
28,off_path,cte_1.25,286,4.978139039532126,1.250509454843723,0.13737286627292633,0.5865694957345099,7,0.03921309548404214
29,collision,stuck_blocked,318,4.6337486460258885,0.8221847520420901,0.11999999731779099,0.9002710145924516,7,0.03921309548404214
30,off_path,cte_1.26,227,5.023769537693146,1.2641063880863905,0.1389440894126892,2.8200015068802418,7,0.03921309548404214
31,off_path,cte_1.25,375,3.6992975458866164,1.2523931272620563,0.11999999731779099,0.7102073258145206,23,0.12774829801226512
32,collision,stuck_blocked,341,4.39210186260719,0.6226325949466818,0.11999999731779099,1.1990073033662894,7,0.03921309548404214
33,off_path,cte_1.25,351,4.7833882077913135,1.2504408050983413,0.11999999731779099,0.8151489899731261,7,0.03921309548404214
34,collision,stuck_blocked,333,4.594859171834463,0.7998003527954348,0.11999999731779099,1.1144619974616972,8,0.044746527813927156
35,timeout,max_steps,700,4.373555341026936,1.1048622238444399,0.14298075437545776,0.9925815211081177,19,0.10561450346817397
36,collision,stuck_blocked,207,4.48616562076652,0.7059082900895632,0.11999999731779099,1.016100474978054,7,0.03921309548404214
37,off_path,cte_1.25,495,4.4416338071326305,1.2500229151712101,0.13727796077728271,1.2089070779356326,17,0.09454759843608003
38,collision,stuck_blocked,378,4.292531744895389,0.48610435619577314,0.11999999731779099,1.5004857863762961,7,0.03921309548404214
39,timeout,max_steps,700,3.3851104420907894,0.05186301973110473,0.12229634076356888,0.5980884324036316,30,0.16648247652466444
40,timeout,max_steps,700,3.787978869499718,0.7304924776278756,0.11999999731779099,0.7015716582902164,33,0.18308283141350432
41,off_path,cte_1.26,193,4.900502727773911,1.25541658272891,0.11999999731779099,2.7548170132243226,7,0.03921309548404214
42,off_path,cte_1.26,456,4.987816652254972,1.2566306561252127,0.13022804260253906,1.577161299013359,9,0.050279971221257366
43,off_path,cte_1.25,668,4.213249022009968,1.2546443612198928,0.11999999731779099,0.7911396852443676,24,0.1332817700309217
44,off_path,cte_1.26,664,4.45896717603292,1.2648699892843185,0.13446390628814697,2.2314741211564963,36,0.19968318341382718
45,collision,stuck_blocked,175,4.329363306774689,0.5359530791395467,0.11999999731779099,1.2039928002427334,8,0.044746527813927156
46,off_path,cte_1.26,123,4.710931332982983,1.2573722500506321,0.11999999731779099,0.8020487354303639,17,0.09454759843608003
47,off_path,cte_1.25,154,4.523886211112063,1.251140545948998,0.11999999731779099,1.1300925812690579,17,0.09454759843608003
48,collision,stuck_blocked,244,4.466934650433007,0.6713656758578496,0.11999999731779099,0.682170696218732,7,0.03921309548404214
49,off_path,cte_1.26,145,5.1298151185489616,1.2644602639586255,0.14124780893325806,2.7809140400725143,0,0.0
50,off_path,cte_1.26,162,5.053959752234254,1.255068778877762,0.14340858161449432,3.9650118695335608,6,0.03367964520412453
51,collision,stuck_blocked,219,4.469810647963173,0.6721702577796009,0.11999999731779099,4.093102833693357,7,0.03921309548404214
52,off_path,cte_1.25,148,4.834872125989069,1.2534800197347347,0.11999999731779099,3.301041225473756,7,0.03921309548404214
53,collision,stuck_blocked,278,4.484176896659464,0.5420489953300645,0.11999999731779099,1.431904244812153,0,0.0
54,off_path,cte_1.27,160,4.591155665214666,1.2653606958500814,0.11999999731779099,0.9005174577917667,17,0.09454759843608003
55,off_path,cte_1.25,181,4.891097968494411,1.253599533577321,0.11999999731779099,1.2395759926984622,7,0.03921309548404214
56,off_path,cte_1.27,122,4.802768311859241,1.2704607736374702,0.11999999731779099,1.2987649293027337,7,0.03921309548404214
57,collision,stuck_blocked,122,4.358214062780924,0.4814824402854832,0.11999999731779099,2.362756320669142,0,0.0
58,off_path,cte_1.26,174,4.333990221887529,1.2639064339708155,0.1364009827375412,3.489793988456067,20,0.11114794119452116
59,collision,stuck_blocked,118,4.428314509854738,0.5661262556489234,0.11999999731779099,3.8820502314523426,1,0.006012353917912963
60,off_path,cte_1.25,244,4.200428479001559,1.2506898104076325,0.11999999731779099,2.998131561048493,24,0.1332817700309217
61,off_path,cte_1.25,180,4.422947507383533,1.2524801420316274,0.13733257353305817,1.5973292473016556,17,0.09454759843608003
62,off_path,cte_1.26,157,4.434366041031573,1.2614003259808013,0.1406146138906479,0.9469310314670655,17,0.09454759843608003
63,off_path,cte_1.27,133,4.825723587792721,1.2651680449575848,0.11999999731779099,0.9584731388775494,4,0.022612725372247632
64,off_path,cte_1.25,158,4.541316668526398,1.253361402876559,0.12115578353404999,1.249741940651907,17,0.09454759843608003
65,off_path,cte_1.26,413,5.018765478775346,1.2577360384136995,0.11999999731779099,0.9594647172567755,6,0.03367964520412453
66,off_path,cte_1.25,268,4.5674415660427385,1.2508020228069776,0.11999999731779099,2.5994640179434425,17,0.09454759843608003
67,off_path,cte_1.26,137,4.730898164679381,1.2624395838593825,0.11999999731779099,1.3035506836967963,17,0.09454759843608003
68,collision,stuck_blocked,181,4.232481615455689,0.4198949542933233,0.11999999731779099,1.1102895217942632,7,0.03921309548404214
69,off_path,cte_1.26,131,4.378011672860632,1.2590785906070672,0.13460493087768555,1.050547768739188,19,0.10561450346817397
70,off_path,cte_1.25,166,4.81798596870302,1.2507138934949718,0.11999999731779099,0.7321636103317288,7,0.03921309548404214
71,off_path,cte_1.25,212,5.057132685684458,1.2510598412688292,0.14155815541744232,1.2250635288079665,7,0.03921309548404214
72,collision,stuck_blocked,333,4.320271041071261,0.6996252139688109,0.11999999731779099,1.2861584231495504,2,0.01154581191528916
73,off_path,cte_1.25,154,4.709498662090168,1.2515873933469994,0.11999999731779099,2.0510734107978448,17,0.09454759843608003
74,off_path,cte_1.25,139,4.861080958463619,1.2534194112980015,0.12302975356578827,1.1190504793347584,0,0.0
75,off_path,cte_1.25,145,4.862671092424809,1.2545793765174833,0.11999999731779099,1.1030487268905986,7,0.03921309548404214
76,off_path,cte_1.26,148,4.369259433366067,1.2567908334462232,0.13505592942237854,1.8090438222209155,19,0.10561450346817397
77,off_path,cte_1.28,149,4.4035346365431085,1.2782203518284692,0.13772748410701752,1.036365126796627,18,0.10008106438389484
78,off_path,cte_1.25,145,4.5018569179320655,1.2505420631061632,0.1278381496667862,0.7880602815035397,17,0.09454759843608003
79,collision,stuck_blocked,216,4.526457060823513,0.7178866287014322,0.11999999731779099,1.250236047257392,7,0.03921309548404214
80,off_path,cte_1.25,168,4.661032006402124,1.250718181624795,0.11999999731779099,1.0512692389018645,17,0.09454759843608003
81,off_path,cte_1.27,175,4.55164922154195,1.2658783374332934,0.12560929358005524,2.0629722226051306,20,0.11114794119452116
82,off_path,cte_1.26,157,4.465775785792733,1.2554811658751224,0.13907280564308167,1.1165665534109381,17,0.09454759843608003
83,off_path,cte_1.25,136,4.367869320085915,1.252310476845484,0.13577662408351898,0.9441193547200101,19,0.10561450346817397
84,collision,stuck_blocked,156,4.354369732802409,0.5271641791113347,0.11999999731779099,2.1787939520685344,4,0.022612725372247632
85,collision,stuck_blocked,284,4.1772717297722375,0.9071460876946545,0.11999999731779099,1.1021632620556727,17,0.09454759843608003
86,off_path,cte_1.27,170,4.462676626181599,1.268599403724984,0.130780428647995,0.6144764028423595,17,0.09454759843608003
87,collision,stuck_blocked,189,4.0577586049487975,1.1206742395083242,0.11999999731779099,1.2726031157085336,27,0.14988210687759618
88,off_path,cte_1.26,150,4.37365764519558,1.2591792204736052,0.13629822432994843,0.8182078235677688,19,0.10561450346817397
89,collision,stuck_blocked,412,4.439641092646034,0.6508263094024236,0.11999999731779099,1.0535178562845502,7,0.03921309548404214
90,off_path,cte_1.25,146,4.633500410864632,1.2547946233803065,0.11999999731779099,3.428987207776531,17,0.09454759843608003
91,off_path,cte_1.26,143,4.645985163471117,1.255202504799545,0.11999999731779099,3.562075901804995,17,0.09454759843608003
92,collision,stuck_blocked,173,3.993010557643256,1.064691358521504,0.11999999731779099,1.3060778793389423,28,0.1554155912061265
93,off_path,cte_1.25,143,4.772291581453721,1.2519678708454107,0.12398719042539597,1.2715059883484212,8,0.044746527813927156
94,off_path,cte_1.26,145,4.65495592725886,1.2589922061735226,0.11999999731779099,0.9012029098429348,17,0.09454759843608003
95,off_path,cte_1.25,154,4.183247084447497,1.252550085504384,0.11999999731779099,1.2850903703230854,25,0.13881520724591048
96,off_path,cte_1.26,165,4.564034174970807,1.2584584560813374,0.12002424895763397,0.9025382639391777,17,0.09454759843608003
97,off_path,cte_1.28,159,4.6612832707329535,1.2781963334266575,0.11999999731779099,0.9490732398067919,17,0.09454759843608003
98,collision,stuck_blocked,167,3.6353226693409133,0.7005956394358701,0.11999999731779099,2.7579229349860994,42,0.23288391895726931
99,off_path,cte_1.26,152,4.557817034643391,1.2562114338489543,0.1262425035238266,3.9005635612600376,17,0.09454759843608003
100,off_path,cte_1.27,138,4.549881415020542,1.2721774000484811,0.11999999731779099,3.6914247755302423,17,0.09454759843608003
101,off_path,cte_1.25,156,4.831552898307571,1.2507186070698937,0.11999999731779099,2.905916142754954,7,0.03921309548404214
102,collision,stuck_blocked,343,4.332501644230453,1.2396994694338128,0.11999999731779099,0.6675075833079552,21,0.11668140947409528
