episode,algo,status,reason,steps,total_reward,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,a2c,success,goal_reached,224,341.49271264886295,0.2917661242000115,0.17980578136615818,0.11999999731779099,1.439773776880006,172,0.9522326872330041
2,a2c,success,goal_reached,191,407.2023661498404,0.2853791415293115,0.27514581884743666,0.11999999731779099,3.1922396254484235,177,0.9798999468216139
3,a2c,collision,stuck_blocked,152,-460.6897853098858,1.6403475418583542,0.37463264094975723,0.11999999731779099,2.629030450137147,110,0.6091586465788736
4,a2c,collision,stuck_blocked,154,-451.43399807294344,1.578035695977351,0.31697832224862393,0.11999999731779099,1.7241473400875131,112,0.6202255493599976
5,a2c,success,goal_reached,186,469.6573876482405,0.29973731747274623,0.24481989451273906,0.13569386303424835,0.8899772979364565,176,0.9743664840764872
6,a2c,success,goal_reached,199,402.6730768820453,0.2925156367247604,0.2925156367247604,0.11999999731779099,0.45435074366747485,179,1.0
7,a2c,collision,stuck_blocked,158,-454.33419758935105,1.5006764930188639,0.2600504027127324,0.11999999731779099,0.61198088804803,116,0.6423593982276102
8,a2c,success,goal_reached,198,403.8233446649322,0.2872277226025602,0.2872277226025602,0.11999999731779099,0.6380504611471964,179,1.0
9,a2c,success,goal_reached,443,169.3298354193599,0.29983027786257105,0.07220398540696882,0.11999999731779099,2.346199883631046,169,0.9356323416602522
10,a2c,success,goal_reached,193,399.4305516954995,0.29871776760755536,0.2860736885084483,0.11999999731779099,2.421982825036225,177,0.9798999468216139
11,a2c,success,goal_reached,185,456.4691534082108,0.2739968821827868,0.2134613080532299,0.1300763338804245,1.60149252584508,175,0.9688330467231607
12,a2c,success,goal_reached,188,406.86325486854344,0.2882085715622236,0.2671476681427308,0.11999999731779099,0.45528849715317626,177,0.9798999468216139
13,a2c,collision,stuck_blocked,155,-451.81388582563335,1.5491251613025556,0.29258884674106,0.11999999731779099,0.7882799876592524,114,0.6312924537535604
14,a2c,success,goal_reached,209,370.06913127799777,0.2985642592752798,0.2985642592752798,0.11999999731779099,0.4601986722109025,179,1.0
15,a2c,success,goal_reached,197,402.6802866422344,0.2979863092130806,0.2978756152985679,0.11999999731779099,1.325655417808853,177,0.9798999468216139
16,a2c,success,goal_reached,207,367.2919803335169,0.299866964020114,0.299866964020114,0.11999999731779099,2.896510512773021,179,1.0
17,a2c,collision,stuck_blocked,154,-452.69562372952277,1.5616310878586028,0.3017615905363138,0.11999999731779099,3.848595973949329,113,0.6257590124966231
18,a2c,success,goal_reached,195,417.0926225320254,0.2996317616682262,0.2893751719706563,0.1273011565208435,2.3495707249110387,177,0.9798999468216139
19,a2c,success,goal_reached,191,417.6359721508451,0.2991133878319247,0.2959648527862297,0.11999999731779099,0.6658259764354081,177,0.9798999468216139
20,a2c,success,goal_reached,190,419.00293283973184,0.2958804326412441,0.2758131809540959,0.14199475944042206,0.4044622554042694,177,0.9798999468216139
