algo,episodes,success_count,success_rate_%,collision_count,collision_rate_%,off_path_count,off_path_rate_%,timeout_count,timeout_rate_%,avg_reward,avg_steps,avg_final_goal_dist,best_final_goal_dist,avg_cross_track_error,avg_progress_ratio,best_progress_ratio
a2c,20,15,75.0,5,25.0,0,0.0,0,0.0,178.99,198.45,0.61,0.27,0.27,0.89,1.0
dqn,20,10,50.0,2,10.0,0,0.0,8,40.0,121.83,476.95,0.61,0.28,0.07,0.86,0.95
ppo,20,7,35.0,13,65.0,0,0.0,0,0.0,-254.81,235.9,1.06,0.29,0.34,0.79,1.0
qlearning,20,1,5.0,12,60.0,1,5.0,6,30.0,-601.9,438.85,2.14,0.29,0.45,0.5,0.94
