episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
34,off_path,cte_1.25,231,2.2421883063672112,1.2511184020105497,0.1305452436208725,1.0528302844722595,69,0.3822871116545959
35,off_path,cte_1.25,219,2.7318736105683556,1.2524062284355109,0.13647152483463287,0.9636180683798754,55,0.30481876975254646
36,collision,dynamic_dist_0.36,92,3.1075917862499773,0.5663618286445729,0.1405777782201767,0.3577853463664563,32,0.17754936344232986
37,collision,dynamic_dist_0.36,101,3.0573281801310457,0.7631466171495253,0.1377796083688736,0.3582409727253484,32,0.17754936344232986
38,collision,stuck_blocked,155,3.089924208668785,0.5661551165568729,0.11999999731779099,0.9080174128830233,52,0.2882184274634338
39,collision,stuck_blocked,246,2.3011093841514074,0.49926015366482174,0.11999999731779099,1.6740832401773325,70,0.38782057879297055
40,collision,dynamic_dist_0.34,161,3.2565059370245977,0.6950112845899654,0.13417816162109375,0.3412836002507499,50,0.2771515408148179
41,off_path,cte_1.26,150,4.304886538575531,1.2613028451440687,0.12766976654529572,0.8920825303247202,21,0.11668140947409528
42,collision,dynamic_dist_0.35,201,2.388633311522463,0.28938893627366,0.134360209107399,0.353327002680761,85,0.47082233678114727
43,collision,dynamic_dist_0.36,74,3.466486872214711,0.30840587773121586,0.13721710443496704,0.35574908490235535,32,0.17754936344232986
44,collision,stuck_blocked,356,1.8389783072414116,0.4428067030524695,0.11999999731779099,0.8228572386916713,101,0.5593575878110606
45,collision,stuck_blocked,140,3.1456868749908353,0.36241866670019823,0.11999999731779099,0.9513556191655433,49,0.2716180883443705
46,collision,stuck_blocked,219,1.9471667992462882,0.44652639231158053,0.11999999731779099,2.533335648513716,83,0.45975545388696837
47,collision,stuck_blocked,205,2.047675216853886,0.46111069798576587,0.11999999731779099,1.5716884045574604,79,0.4376216201846238
48,collision,dynamic_dist_0.34,136,3.0391224678700115,0.3703641625350442,0.1394834667444229,0.3447579771196982,52,0.2882184274634338
49,off_path,cte_1.26,128,3.1896336374627263,1.2588143963005267,0.13220922648906708,1.0676276903420256,1,0.006012353917912963
50,off_path,cte_1.27,142,3.2256206098744613,1.2665976907290366,0.13979284465312958,0.5688561148551138,14,0.07794724304045882
51,off_path,cte_1.25,206,4.2625498075889805,1.2532269402881793,0.11999999731779099,0.9683999995141923,23,0.12774829801226512
52,off_path,cte_1.26,180,3.704219466926123,1.259503051755428,0.11999999731779099,0.8637530854378809,49,0.2716180883443705
53,off_path,cte_1.26,541,2.902391464899301,1.2566810079500845,0.11999999731779099,1.525348965389229,55,0.30481876975254646
54,collision,stuck_blocked,330,1.4929085596564753,0.2524404540829925,0.11999999731779099,1.249327862024039,117,0.6478928128250578
55,collision,dynamic_dist_0.35,78,3.2230885221381342,0.3945010493717728,0.1317567676305771,0.3464433055447433,30,0.16648247652466444
56,off_path,cte_1.27,147,3.580006121416002,1.2715419739421465,0.13006992638111115,0.39290779844772106,11,0.061346891513746234
57,off_path,cte_1.25,143,3.526879505327724,1.2542043927577293,0.13419218361377716,0.7152536704509032,0,0.0
58,off_path,cte_1.26,492,3.4150851730940266,1.2555060023768614,0.11999999731779099,0.4791349219346813,81,0.44868852785522495
59,off_path,cte_1.26,235,2.897102082085201,1.2568052130803773,0.11999999731779099,2.8450973445235617,96,0.5316903159795783
60,off_path,cte_1.25,167,3.5177006029875013,1.2520122590427964,0.14395001530647278,2.351815722031422,3,0.017079277544075278
61,off_path,cte_1.25,269,2.4354594239372207,1.2522978149738608,0.13633956015110016,0.7011854613462071,103,0.5704244897781042
62,collision,dynamic_dist_0.35,98,3.0404936914729013,0.5338685704698333,0.14463740587234497,0.3499544327252145,34,0.18861627910193005
63,collision,dynamic_dist_0.35,114,3.0268124497201,0.9455827627889126,0.13785019516944885,0.3534591180128858,32,0.17754936344232986
64,off_path,cte_1.25,158,3.487497946930874,1.2544512577354965,0.13421118259429932,0.6270126086454385,0,0.0
65,collision,stuck_blocked,237,1.8610511452594312,0.4581202992350683,0.11999999731779099,0.9633728066515056,87,0.4818892715765376
66,collision,stuck_blocked,214,3.646373928629493,0.9469503189302909,0.11999999731779099,3.1119457569581415,30,0.16648247652466444
67,collision,stuck_blocked,241,1.5619963978992322,0.6365971826342982,0.11999999731779099,3.6051730946559584,119,0.6589597127156694
68,collision,dynamic_dist_0.35,195,2.8349922331030006,0.689962074802767,0.12250665575265884,0.350805457959937,74,0.40995437687075315
69,off_path,cte_1.25,216,3.976438700758943,1.2524028413044148,0.11999999731779099,0.49679533484366545,44,0.24395080276215284
70,off_path,cte_1.25,318,2.940057100248431,1.252923605329794,0.11999999731779099,0.399605519739003,55,0.30481876975254646
71,off_path,cte_1.25,167,3.1814664368350436,1.2505954375356128,0.13530230522155762,0.5589776059883694,11,0.061346891513746234
72,collision,stuck_blocked,481,1.4293924135048224,0.31282194252854284,0.11999999731779099,1.9051902071285185,121,0.6700266322243261
73,off_path,cte_1.26,537,2.4235845595243224,1.2630056739173754,0.11999999731779099,0.7435025365534563,117,0.6478928128250578
74,collision,stuck_blocked,277,2.145247702057169,1.1049198430832885,0.11999999731779099,0.41744583105271515,110,0.6091586465788736
75,collision,dynamic_dist_0.36,86,3.107078842428184,0.259925606924219,0.1387433111667633,0.35577045474482344,49,0.2716180883443705
76,off_path,cte_1.26,389,3.1812006441184852,1.2634741956265791,0.11999999731779099,1.0410715553682668,85,0.47082233678114727
77,collision,stuck_blocked,178,2.3030524518671824,0.4722803303564945,0.11999999731779099,1.268227119461596,70,0.38782057879297055
78,off_path,cte_1.26,242,3.049518901193213,1.2613166222194714,0.1448715180158615,0.8725559371625956,55,0.30481876975254646
79,off_path,cte_1.27,479,1.914891575537075,1.2659168370528324,0.11999999731779099,1.6142994603185659,138,0.7640953188675039
80,collision,stuck_blocked,196,2.3743702150847623,0.5029402305650037,0.11999999731779099,0.8286193949042205,67,0.37122019302316217
81,collision,stuck_blocked,367,2.0352639953886293,0.779045921756324,0.11999999731779099,0.704380794022937,112,0.6202255493599976
82,off_path,cte_1.25,203,3.018349551692277,1.252142633145605,0.13918358087539673,1.0162481602884124,55,0.30481876975254646
83,collision,stuck_blocked,183,2.110665021995844,0.4497180770151707,0.11999999731779099,0.961034010869201,77,0.42655471398411104
84,collision,stuck_blocked,327,1.8256453434753512,0.827556254905723,0.11999999731779099,2.1254931416001948,114,0.6312924537535604
85,off_path,cte_1.26,226,3.167338301208676,1.2617226789899068,0.11999999731779099,0.38730105929704,53,0.29375186208607906
86,off_path,cte_1.25,239,3.0295839251679046,1.2524988481122403,0.13459639251232147,0.8921052664714642,55,0.30481876975254646
87,collision,stuck_blocked,210,2.044115486603201,0.44283754508476764,0.11999999731779099,0.825451826597829,79,0.4376216201846238
88,collision,stuck_blocked,315,3.4366297997146003,0.7385166165558208,0.11999999731779099,0.9248203886786855,48,0.26608463821180883
89,off_path,cte_1.25,335,2.279352656232078,1.250672896771981,0.14635583758354187,1.847905989412335,108,0.5980917427335317
90,off_path,cte_1.26,215,4.21575402455693,1.2558138031516883,0.11999999731779099,2.5408293381315237,0,0.0
91,collision,dynamic_dist_0.35,54,3.510604719055118,0.1904215851097716,0.1344062089920044,0.3511840176031952,27,0.14988210687759618
92,collision,stuck_blocked,211,2.4219840258641976,0.5362351184440034,0.11999999731779099,0.804880477764299,65,0.36015331649888127
93,off_path,cte_1.26,172,3.443475058054076,1.257769149499134,0.13702470064163208,0.7278470354526855,53,0.29375186208607906
94,collision,dynamic_dist_0.35,84,2.971999642899425,0.45620588965380493,0.1268419772386551,0.34560435644011994,38,0.21075008395142072
95,off_path,cte_1.26,275,2.3121710657504786,1.2583612552999324,0.12986046075820923,0.649658006654393,107,0.5925582715097888
96,collision,stuck_blocked,220,1.8752175687227914,0.45312985567447983,0.11999999731779099,3.5843923067827714,86,0.4763558255205024
97,off_path,cte_1.26,239,2.930871686051042,1.2600242083529374,0.11999999731779099,2.9144008867567672,95,0.5261568680501088
98,off_path,cte_1.26,187,3.570690708520324,1.2646223840868336,0.1333879977464676,1.7983200670439556,67,0.37122019302316217
99,collision,dynamic_dist_0.35,60,3.380695188913882,0.30246720495784507,0.13218946754932404,0.3498526690618798,37,0.20521664351778565
100,collision,dynamic_dist_0.36,105,3.0816397609439665,0.6832040404574271,0.13546596467494965,0.35983938693861967,32,0.17754936344232986
101,collision,dynamic_dist_0.36,142,2.430845654653099,0.1780646600276272,0.13215455412864685,0.35553938296080484,78,0.4320882030809829
102,off_path,cte_1.27,185,2.5695837720597186,1.2746510268381144,0.1371326446533203,0.7337000425955905,57,0.3158856857200895
103,collision,stuck_blocked,284,1.743512467461442,0.37245323945713943,0.11999999731779099,1.056368017561159,104,0.5759579459396937
104,off_path,cte_1.25,143,3.213579718383623,1.2509242697355771,0.13580776751041412,3.0139594300389225,11,0.061346891513746234
105,off_path,cte_1.25,230,3.511390465596031,1.2502050192929157,0.11999999731779099,2.9192020293881034,5,0.02814618801136692
106,collision,dynamic_dist_0.35,484,2.3828725806975566,0.7852520453747089,0.11999999731779099,0.35399860059719906,112,0.6202255493599976
107,off_path,cte_1.27,192,2.7965615098345684,1.2713278751465622,0.13290145993232727,0.935579337785411,55,0.30481876975254646
108,collision,dynamic_dist_0.35,84,3.305048672628778,0.3093671349966356,0.1392606645822525,0.35181274892129427,43,0.23841735417368812
109,collision,dynamic_dist_0.36,220,2.7152001270194526,1.2629127392633384,0.1381763517856598,0.3596922472907994,55,0.30481876975254646
110,collision,stuck_blocked,231,1.7116257581337915,0.3885297558459988,0.11999999731779099,2.827537830794952,106,0.5870248470104521
111,collision,stuck_blocked,316,1.7726813034987885,0.19224239878256089,0.11999999731779099,2.9360400291544875,104,0.5759579459396937
112,collision,stuck_blocked,202,2.088374286610451,0.4518996138013492,0.11999999731779099,1.034327874831487,77,0.42655471398411104
113,off_path,cte_1.26,248,3.549525797129938,1.2573363345912063,0.13668444752693176,0.50152165887122,51,0.28268499046617795
114,collision,stuck_blocked,215,3.2105057935836667,1.2122742606880348,0.11999999731779099,1.1030544332534917,53,0.29375186208607906
115,collision,dynamic_dist_0.35,52,3.5131768899539995,0.19341100977750927,0.12560014426708221,0.3474561699439573,27,0.14988210687759618
116,off_path,cte_1.25,289,2.6928192367428503,1.2531443229254593,0.11999999731779099,0.6284189144535562,57,0.3158856857200895
117,collision,stuck_blocked,269,1.6257121151243707,0.3514072452087508,0.11999999731779099,3.5141995612155426,110,0.6091586465788736
118,collision,dynamic_dist_0.35,134,3.158417261369434,1.0675881162798064,0.13954810798168182,0.3514033535730275,7,0.03921309548404214
