episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,off_path,cte_1.25,230,3.3372517130792736,1.2516908544489278,0.11999999731779099,2.464392385459132,53,0.29375186208607906
2,collision,stuck_blocked,289,1.7471813452713532,0.7684836994616666,0.11999999731779099,0.9919823611662331,116,0.6423593982276102
3,collision,stuck_blocked,167,3.9235730903283454,0.9928821553473687,0.11999999731779099,1.2188147097228954,29,0.16094899925983838
4,off_path,cte_1.26,324,2.65175455028552,1.263922027423073,0.11999999731779099,0.9555960931636089,99,0.5482906716907741
5,collision,stuck_blocked,168,3.7435890879553746,0.7992487292028071,0.11999999731779099,1.0535309716236407,36,0.19968318341382718
6,collision,dynamic_dist_0.36,116,3.3417792612740764,0.38835280349202894,0.14197184145450592,0.35719751914682285,44,0.24395080276215284
7,off_path,cte_1.26,196,2.934355901619893,1.255853538196508,0.13460513949394226,1.5084047646505598,95,0.5261568680501088
8,collision,dynamic_dist_0.36,550,3.0380110502839175,1.1713246351543276,0.11999999731779099,0.3593829345871975,90,0.4984896215682283
9,collision,stuck_blocked,216,4.03155477128381,1.0781400167758741,0.11999999731779099,1.408881957733041,27,0.14988210687759618
10,collision,stuck_blocked,146,3.7550109336996393,0.7627027836049517,0.11999999731779099,0.5774417218203708,30,0.16648247652466444
11,off_path,cte_1.26,216,3.8603729349849814,1.2646235601962719,0.11999999731779099,0.8524748488340362,45,0.24948424177810863
12,collision,dynamic_dist_0.35,94,3.1290465614049987,0.14908507934166404,0.13651302456855774,0.3539984755052901,45,0.24948424177810863
13,off_path,cte_1.25,243,2.6989265415612294,1.2531241192233245,0.13691122829914093,0.44178397419185167,57,0.3158856857200895
14,collision,stuck_blocked,132,3.615895859945055,0.7046709345462738,0.11999999731779099,1.643888431561803,43,0.23841735417368812
15,collision,dynamic_dist_0.34,120,3.0687081790216717,0.7414252233196242,0.13308192789554596,0.3408572000353105,32,0.17754936344232986
16,collision,stuck_blocked,188,3.8816666158763606,0.9538640861401221,0.11999999731779099,0.8947674803261152,30,0.16648247652466444
17,off_path,cte_1.25,170,3.0686641784848554,1.253491440919918,0.14119984209537506,2.588266194496324,92,0.5095565333229197
18,collision,stuck_blocked,248,1.7938199239380124,0.4382109882222116,0.11999999731779099,0.8897141820833351,93,0.5150899627816493
19,collision,dynamic_dist_0.35,59,3.5181966671059515,0.1038966489565044,0.13658089935779572,0.351016920535795,25,0.13881520724591048
20,collision,stuck_blocked,163,4.029143247743897,1.089376269268253,0.11999999731779099,0.8186706944758628,27,0.14988210687759618
21,collision,dynamic_dist_0.35,92,2.901493651125551,0.4690902794422929,0.13757143914699554,0.3459186168303534,39,0.21628353335819409
22,collision,dynamic_dist_0.35,56,3.4648943642602528,0.05858473171534214,0.14289261400699615,0.3534648218240422,24,0.1332817700309217
23,collision,dynamic_dist_0.34,155,2.9666529288482413,1.0134438321167292,0.13260295987129211,0.33563038359069713,85,0.47082233678114727
24,collision,stuck_blocked,240,4.536113936453058,0.7338347510735982,0.11999999731779099,1.1517414005096447,7,0.03921309548404214
25,off_path,cte_1.27,214,3.0596304452686662,1.265267381590334,0.13955330848693848,1.0504655682723854,93,0.5150899627816493
26,collision,stuck_blocked,389,1.0046396043260009,0.8196176746145318,0.11999999731779099,1.4659986336827906,147,0.8138963758832394
27,off_path,cte_1.27,407,2.8851904530918286,1.2741140099513226,0.13686080276966095,0.6782089194232854,103,0.5704244897781042
28,collision,stuck_blocked,166,3.507102153843067,0.7078115437654781,0.11999999731779099,0.5563534725473681,45,0.24948424177810863
29,off_path,cte_1.27,147,4.435093940841167,1.2693814630740747,0.13677893579006195,1.1172721052518575,17,0.09454759843608003
30,collision,stuck_blocked,266,3.7379940238652654,0.9783604670330522,0.11999999731779099,0.9149760488123939,34,0.18861627910193005
31,collision,stuck_blocked,149,3.982804694953252,0.9626206131231662,0.11999999731779099,3.507625840405476,26,0.14434867926311765
32,collision,stuck_blocked,138,3.6724309308355463,0.7350424067867714,0.11999999731779099,3.433212984369726,42,0.23288391895726931
33,off_path,cte_1.26,227,2.9642669037054037,1.2648508959732099,0.1222347542643547,0.7883355076386713,55,0.30481876975254646
34,off_path,cte_1.26,160,3.085679837225077,1.2626098776072314,0.13471849262714386,1.8992043167469645,92,0.5095565333229197
35,collision,stuck_blocked,152,3.9326115638699544,0.9826173099780025,0.11999999731779099,0.8036427536175852,28,0.1554155912061265
36,collision,dynamic_dist_0.35,115,2.8307743375723433,0.4002582433545113,0.13645270466804504,0.35041634927682225,63,0.3490863841664326
37,off_path,cte_1.25,298,1.7641912643878856,1.2509974135031234,0.130706325173378,0.6603395640565449,142,0.7862291352166376
38,off_path,cte_1.25,280,2.525009555715031,1.2542372971445177,0.11999999731779099,1.7975694305960166,59,0.326952597912491
39,off_path,cte_1.25,342,1.6609836493911039,1.2520101668993273,0.11999999731779099,2.0288454217780556,142,0.7862291352166376
40,success,goal_reached,302,0.29898784035092335,0.12383397675102562,0.1342356950044632,2.0896804082926805,170,0.9411657697444598
41,collision,stuck_blocked,163,4.08499788028058,1.1201631734023794,0.11999999731779099,0.852894693531927,26,0.14434867926311765
42,collision,stuck_blocked,207,1.9052859731290839,0.4310384650822158,0.11999999731779099,0.6839254331415947,85,0.47082233678114727
43,collision,dynamic_dist_0.35,78,3.367754920205689,0.05018318837533537,0.1334594488143921,0.34947041908255533,31,0.17201593876262222
44,off_path,cte_1.26,310,3.394749765142255,1.2565540030219209,0.13979503512382507,0.6734878391932861,76,0.42102127744824946
45,off_path,cte_1.25,422,3.531991393116661,1.25438833092235,0.1353980004787445,3.036033779208767,80,0.4431550749069581
46,off_path,cte_1.25,362,4.5082521930940365,1.2538239527970105,0.11999999731779099,1.5341488902928966,35,0.1941497457079327
47,collision,dynamic_dist_0.36,89,3.469000372304893,0.48759270807413135,0.12896829843521118,0.3591549244948258,42,0.23288391895726931
48,off_path,cte_1.26,218,3.5473400047874217,1.2589517148524398,0.13566863536834717,0.516992208794714,50,0.2771515408148179
49,collision,stuck_blocked,175,2.461259256020444,0.5798757343985661,0.11999999731779099,0.7685791710093575,63,0.3490863841664326
50,collision,stuck_blocked,257,3.1913609471067343,1.2255022730172347,0.11999999731779099,0.6968316313662796,53,0.29375186208607906
51,collision,stuck_blocked,228,2.231145653275584,0.42355849619851865,0.11999999731779099,2.9139985940468036,73,0.4044209103523988
52,collision,stuck_blocked,119,3.6435116422951523,0.38003546333950555,0.11999999731779099,2.6214423372121702,26,0.14434867926311765
53,collision,stuck_blocked,274,3.776347384888368,0.6331873931835934,0.11999999731779099,1.3222554603200931,33,0.18308283141350432
54,off_path,cte_1.25,260,2.7717671616123583,1.2506065905918027,0.11999999731779099,0.48623801176918297,55,0.30481876975254646
55,collision,stuck_blocked,241,2.0784081693179277,0.7582300773278083,0.11999999731779099,0.7258209407024578,74,0.40995437687075315
56,collision,stuck_blocked,279,1.227940060611174,0.39605734019027033,0.11999999731779099,0.452241260607703,126,0.6976938915447127
57,collision,stuck_blocked,178,3.9242700820817467,0.9762047926210082,0.11999999731779099,2.3932665031694427,28,0.1554155912061265
58,off_path,cte_1.25,353,3.7414849780974753,1.253013867946938,0.11999999731779099,0.37750018207151215,40,0.221817014237972
59,off_path,cte_1.25,230,2.246011474323324,1.2527232437002773,0.11999999731779099,0.7069805326904097,69,0.3822871116545959
60,collision,stuck_blocked,320,1.436067553895163,0.5404673106482509,0.11999999731779099,1.5157037494510157,121,0.6700266322243261
61,collision,dynamic_dist_0.36,639,2.6072739801136318,0.6314516558417027,0.1322014480829239,0.35782975402562156,89,0.4929561732496746
62,collision,stuck_blocked,162,3.855041717854608,0.9102071830303909,0.11999999731779099,1.1578399055962514,30,0.16648247652466444
63,off_path,cte_1.25,141,4.598180932440933,1.2501452807512436,0.12345033884048462,0.9434266184684921,17,0.09454759843608003
64,collision,stuck_blocked,281,2.5281330641107616,0.391769477232633,0.11999999731779099,1.1832971862069581,62,0.34355297382816374
65,collision,dynamic_dist_0.33,126,3.0436806674097445,0.23481798090532285,0.1297878623008728,0.3270741224630685,50,0.2771515408148179
66,collision,dynamic_dist_0.35,78,3.455879594905775,0.05744042705071006,0.1371667981147766,0.35051511490411424,25,0.13881520724591048
67,off_path,cte_1.25,156,4.927528060345144,1.2508955199098004,0.11999999731779099,0.8908227885305436,0,0.0
68,collision,stuck_blocked,146,3.740271734098716,0.790589364153226,0.11999999731779099,1.016215994274825,36,0.19968318341382718
69,collision,stuck_blocked,260,3.6063032661225822,0.6747182984303125,0.11999999731779099,0.8431763013562502,42,0.23288391895726931
70,off_path,cte_1.26,166,3.795796442947116,1.255977805935124,0.11999999731779099,1.1446642796193736,48,0.26608463821180883
71,collision,stuck_blocked,143,4.366793944236452,0.5752918031754536,0.11999999731779099,1.4019265324867736,7,0.03921309548404214
72,collision,stuck_blocked,466,1.750714034770654,0.6799152860530165,0.11999999731779099,2.464574567978103,114,0.6312924537535604
73,collision,dynamic_dist_0.36,97,3.1129572083974013,0.08118374254311714,0.13779526948928833,0.35624629944532665,45,0.24948424177810863
