episode,status,reason,steps,goal_dist,cross_track_error,min_clearance,min_dynamic_distance,nearest_path_index,progress_ratio
1,collision,dynamic_dist_0.36,50,3.4668034226366053,0.05853427776674961,0.1422034054994583,0.35782501418588697,24,0.1332817700309217
2,collision,stuck_blocked,163,3.999074805137638,1.070448727211314,0.11999999731779099,0.9109246290378451,27,0.14988210687759618
3,off_path,cte_1.26,159,4.688294918630116,1.255102113071617,0.11999999731779099,1.1425104539527366,17,0.09454759843608003
4,off_path,cte_1.26,243,4.998114369871606,1.264951205555062,0.1417236477136612,1.066333020803122,11,0.061346891513746234
5,collision,stuck_blocked,127,3.6851136877812953,0.728008457985575,0.11999999731779099,3.0494625410564904,36,0.19968318341382718
6,collision,stuck_blocked,301,1.5716968333308985,0.6365299629016907,0.11999999731779099,1.736134545966981,119,0.6589597127156694
7,off_path,cte_1.26,180,3.775804864028712,1.2607121455084658,0.14025278389453888,1.0496961202935244,49,0.2716180883443705
8,collision,dynamic_dist_0.35,169,2.8141108903884495,0.4471517475933826,0.11999999731779099,0.3531710557356277,55,0.30481876975254646
9,collision,dynamic_dist_0.36,96,3.09725160569422,0.044306962976589176,0.13621234893798828,0.35850456461423996,41,0.22735046651130075
10,collision,stuck_blocked,208,2.3304484512056676,0.48523232846350806,0.11999999731779099,0.5163437437678938,69,0.3822871116545959
11,collision,dynamic_dist_0.35,105,3.2670085120669774,0.01860931823012136,0.1349155157804489,0.3525640934205286,34,0.18861627910193005
12,off_path,cte_1.26,281,2.984468856250808,1.2626780830172235,0.1422146111726761,0.7034437425929991,95,0.5261568680501088
13,collision,dynamic_dist_0.36,269,2.8625792687099945,0.8873665244309946,0.1374359130859375,0.3552135293372757,85,0.47082233678114727
14,collision,dynamic_dist_0.35,115,3.025827983342998,0.5783313805291096,0.1401427686214447,0.3507014916559983,34,0.18861627910193005
15,collision,stuck_blocked,135,3.969700745400236,1.0261352174078886,0.11999999731779099,1.1877271721099574,28,0.1554155912061265
16,collision,dynamic_dist_0.36,265,2.7736692241697076,0.5075895695431901,0.11999999731779099,0.3568831386847835,65,0.36015331649888127
17,off_path,cte_1.26,162,3.2857291991283923,1.255784231129538,0.13167643547058105,0.7467830639772667,19,0.10561450346817397
18,collision,dynamic_dist_0.36,167,3.0466393616483445,0.8778541453153192,0.14100900292396545,0.35862769326722876,32,0.17754936344232986
19,collision,dynamic_dist_0.34,69,3.2392800276769704,0.04930697454371384,0.14630524814128876,0.3403790565236367,34,0.18861627910193005
20,collision,stuck_blocked,316,1.739168288936104,0.32404599235246195,0.11999999731779099,0.41444609624571177,110,0.6091586465788736
